Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Middle East & North Africa (excluding high income),MNA,CO2 emissions (kt),EN.ATM.CO2E.KT,550862.436882318,584790.056497944,603450.797642647,638431.431947327,680739.140586646,710403.334875857,718900.833202859,712036.058,800220.074,866457.095,872382.967,898961.383,902342.357,966001.477,1024809.156,1088453.608,1124610.228,1130037.388,1208415.846,1254418.361,1281517.491,1306607.105,1367149.275,1388131.849,1418044.77855581,..
Middle East & North Africa (IDA & IBRD),TMN,CO2 emissions (kt),EN.ATM.CO2E.KT,550556.046,584464.795,603115.157,638076.335,680360.512,710008.207,718500.979,711640.022,799618.686,865808.036,871590.895,897611.927,901187.252,964721.694,1022942.653,1085710.692,1122344.022,1127712.51,1206362.326,1252328.171,1279482.306,1304359.234,1364949.075,1385693.294,1415553.675,..
Middle income,MIC,CO2 emissions (kt),EN.ATM.CO2E.KT,8781977.71806417,9134915.14704059,9472564.47303048,9535734.68918867,9456660.52878173,9812759.37772243,10085236.3998642,10069785.3810941,9949334.05471978,10124686.6184456,10400047.0699291,10636405.9180573,11106833.3011257,12148943.7399341,13115633.2772549,13998889.6159815,14924184.4420523,15679070.1786075,16673026.8475668,17088221.522587,18189470.8695246,19677764.7321333,20425563.4074606,20540640.114386,20786783.3207388,..
Moldova,MDA,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,20971.573,15628.754,12090.099,11191.684,11521.714,7099.312,6270.57,4503.076,3512.986,3714.671,3986.029,4290.39,4554.414,4895.445,4994.454,4679.092,4778.101,4550.747,4932.115,5038.458,4924.781,4998.121,4932.115,..
Monaco,MCO,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,CO2 emissions (kt),EN.ATM.CO2E.KT,9988.908,12159.772,11019.335,9284.844,7946.389,7920.72,8041.731,7708.034,7708.034,7554.02,7506.349,7884.05,8287.42,8034.397,8551.444,8562.445,9394.854,12064.43,12038.761,13102.191,13820.923,21499.621,26226.384,38752.856,20839.561,..
Montenegro,MNE,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2057.187,2383.55,2251.538,2750.25,1826.166,2581.568,2570.567,2335.879,2247.871,2211.201,..
Morocco,MAR,CO2 emissions (kt),EN.ATM.CO2E.KT,23542.14,24975.937,26039.367,28217.565,29640.361,30373.761,31195.169,31862.563,32038.579,33153.347,33905.082,37715.095,38254.144,37561.081,43310.937,45771.494,47425.311,50267.236,52900.142,52482.104,55958.42,57685.577,62731.369,59082.704,59863.775,..
Mozambique,MOZ,CO2 emissions (kt),EN.ATM.CO2E.KT,1023.093,1023.093,1004.758,1078.098,1063.43,1114.768,1041.428,1125.769,1133.103,1188.108,1349.456,1580.477,1587.811,1917.841,1921.508,1822.499,1980.18,2262.539,2266.206,2530.23,2735.582,3223.293,3120.617,4019.032,8426.766,..
Myanmar,MMR,CO2 emissions (kt),EN.ATM.CO2E.KT,4275.722,4180.38,4888.111,5342.819,6244.901,6959.966,7256.993,7499.015,8078.401,8969.482,10087.917,8723.793,9207.837,9845.895,12434.797,11598.721,12849.168,12874.837,9801.891,10230.93,12515.471,14297.633,11070.673,12860.169,21631.633,..
Namibia,NAM,CO2 emissions (kt),EN.ATM.CO2E.KT,40.337,1056.096,1151.438,1389.793,1584.144,1631.815,1749.159,1796.83,1906.84,1664.818,1642.816,2016.85,1760.16,1873.837,1961.845,2310.21,2332.212,2361.548,3325.969,3069.279,3102.282,2830.924,3384.641,2629.239,3755.008,..
Nauru,NRU,CO2 emissions (kt),EN.ATM.CO2E.KT,124.678,124.678,121.011,113.677,110.01,106.343,102.676,102.676,99.009,91.675,84.341,80.674,77.007,66.006,66.006,62.339,44.004,44.004,44.004,40.337,44.004,40.337,40.337,44.004,47.671,..
Nepal,NPL,CO2 emissions (kt),EN.ATM.CO2E.KT,634.391,960.754,1331.121,1466.8,1697.821,2035.185,2486.226,2783.253,2251.538,3219.626,3069.279,3267.297,2625.572,2841.925,2669.576,3083.947,2563.233,2614.571,3421.311,4334.394,5056.793,5533.503,5856.199,6637.27,8030.73,..
